ProjectTitle,PIEmail,DataManagerEmail,TagManufacturer,TagModel,TagSerialNumber,Sensors,PTTID,WMOID,ArgosProgramNumber,DeploymentID,DeploymentStartDatetimeUTC,DeploymentStopDatetimeUTC,DeploymentLocation,DeploymentLatitude,DeploymentLongitude,SpeciesCommonName,ScientificName,AnimalID,AnimalLength,LengthUnits,LengthType,AnimalLength2,Length2Units,Length2Type,AnimalMass,MassUnits,AnimalSex,AnimalAgeClass,DataEmbargoUntilDate,Comments
"Ocean Migration and Behavior of Steelhead Kelts in the Northern Gulf of Alaska, Examined with Satellite Telemetry, 2018-2020",acseitz@alaska.edu,mbcourtney@alaska.edu,Wildlife Computers ,MiniPAT,16P2121,"pressure, ambient temperature, light",169144,N/A,4989,N/A,2018-05-31T22:45:00Z ,2018-08-26T00:00:00Z,Situk River,59.4528,-139.667401,steelhead,Oncorhynchus mykiss,N/A,770,mm,fork length,N/A,N/A,N/A,N/A,N/A,female,kelt,9/30/2023,
"Ocean Migration and Behavior of Steelhead Kelts in the Northern Gulf of Alaska, Examined with Satellite Telemetry, 2018-2020",acseitz@alaska.edu,mbcourtney@alaska.edu,Wildlife Computers ,MiniPAT,16P2123,"pressure, ambient temperature, light",169146,N/A,4989,N/A,2018-06-01T22:25:00Z ,2018-07-19T00:00:00Z,Situk River,59.4528,-139.667401,steelhead,Oncorhynchus mykiss,N/A,735,mm,fork length,N/A,N/A,N/A,N/A,N/A,female,kelt,9/30/2023,
"Ocean Migration and Behavior of Steelhead Kelts in the Northern Gulf of Alaska, Examined with Satellite Telemetry, 2018-2020",acseitz@alaska.edu,mbcourtney@alaska.edu,Wildlife Computers ,MiniPAT,16P2389,"pressure, ambient temperature, light",169154,N/A,4989,N/A,2018-06-03T08:34:00Z ,2018-06-22T00:00:00Z,Situk River,59.4528,-139.667401,steelhead,Oncorhynchus mykiss,N/A,655,mm,fork length,N/A,N/A,N/A,N/A,N/A,female,kelt,9/30/2023,
"Ocean Migration and Behavior of Steelhead Kelts in the Northern Gulf of Alaska, Examined with Satellite Telemetry, 2018-2020",acseitz@alaska.edu,mbcourtney@alaska.edu,Wildlife Computers ,MiniPAT,17P1335,"pressure, ambient temperature, light",175618,N/A,4989,N/A,2018-06-03T04:37:00Z ,2018-06-27T00:00:00Z,Situk River,59.4528,-139.667401,steelhead,Oncorhynchus mykiss,N/A,815,mm,fork length,N/A,N/A,N/A,N/A,N/A,female,kelt,9/30/2023,
"Ocean Migration and Behavior of Steelhead Kelts in the Northern Gulf of Alaska, Examined with Satellite Telemetry, 2018-2020",acseitz@alaska.edu,mbcourtney@alaska.edu,Wildlife Computers ,MiniPAT,18P0504,"pressure, ambient temperature, light",176929,N/A,4989,N/A,2019-06-02T16:37:00Z ,2019-07-16T00:00:00Z,Situk River,59.4528,-139.667401,steelhead,Oncorhynchus mykiss,N/A,860,mm,fork length,N/A,N/A,N/A,N/A,N/A,female,kelt,9/30/2023,
"Ocean Migration and Behavior of Steelhead Kelts in the Northern Gulf of Alaska, Examined with Satellite Telemetry, 2018-2020",acseitz@alaska.edu,mbcourtney@alaska.edu,Wildlife Computers ,MiniPAT,18P0505,"pressure, ambient temperature, light",176930,N/A,4989,N/A,2019-06-03T22:15:00Z ,2019-07-30T00:00:00Z,Situk River,59.4528,-139.667401,steelhead,Oncorhynchus mykiss,N/A,870,mm,fork length,N/A,N/A,N/A,N/A,N/A,female,kelt,9/30/2023,
"Ocean Migration and Behavior of Steelhead Kelts in the Northern Gulf of Alaska, Examined with Satellite Telemetry, 2018-2020",acseitz@alaska.edu,mbcourtney@alaska.edu,Wildlife Computers ,MiniPAT,18P0508,"pressure, ambient temperature, light",176932,N/A,4989,N/A,2019-06-02T04:40:00Z ,2019-06-17T00:00:00Z,Situk River,59.4528,-139.667401,steelhead,Oncorhynchus mykiss,N/A,790,mm,fork length,N/A,N/A,N/A,N/A,N/A,female,kelt,9/30/2023,
"Ocean Migration and Behavior of Steelhead Kelts in the Northern Gulf of Alaska, Examined with Satellite Telemetry, 2018-2020",acseitz@alaska.edu,mbcourtney@alaska.edu,Wildlife Computers ,MiniPAT,18P0509,"pressure, ambient temperature, light",176933,N/A,4989,N/A,2019-05-31T19:05:00Z ,2019-06-14T00:00:00Z,Situk River,59.4528,-139.667401,steelhead,Oncorhynchus mykiss,N/A,835,mm,fork length,N/A,N/A,N/A,N/A,N/A,female,kelt,9/30/2023,
"Ocean Migration and Behavior of Steelhead Kelts in the Northern Gulf of Alaska, Examined with Satellite Telemetry, 2018-2020",acseitz@alaska.edu,mbcourtney@alaska.edu,Wildlife Computers ,MiniPAT,18P1940,"pressure, ambient temperature, light",179508,N/A,4989,N/A,2019-06-02T00:00:00Z ,2019-11-18T00:00:00Z,Situk River,59.4528,-139.667401,steelhead,Oncorhynchus mykiss,N/A,800,mm,fork length,N/A,N/A,N/A,N/A,N/A,female,kelt,9/30/2023,
"Ocean Migration and Behavior of Steelhead Kelts in the Northern Gulf of Alaska, Examined with Satellite Telemetry, 2018-2020",acseitz@alaska.edu,mbcourtney@alaska.edu,Wildlife Computers ,MiniPAT,19P1572,"pressure, ambient temperature, light",199387,N/A,4989,N/A,2020-06-09T08:00:00Z ,2020-08-04T00:00:00Z,Situk River,59.4528,-139.667401,steelhead,Oncorhynchus mykiss,N/A,670,mm,fork length,N/A,N/A,N/A,N/A,N/A,female,kelt,9/30/2023,
